Event	ID	Name			Wwise Object Path	Notes
	1186865283	Play_Swing_Staff			\Default Work Unit\Ellen\Play_Swing_Staff	
	1602358412	Play_Footstep			\Default Work Unit\Ellen\Play_Footstep	
	2323405115	Play_Landing			\Default Work Unit\Ellen\Play_Landing	
	3689126666	Play_Jump			\Default Work Unit\Ellen\Play_Jump	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Footsteps\Material	

Switch	ID	Name	Switch Group			Notes
	712897245	Mud	Material			
	1216965916	Stone	Material			
	4248645337	Grass	Material			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	484974174	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Weapons\Staff\SFX_Ellen_Weapon_Staff_Swing_01\SoundSeed Woosh	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30639154	SFX_Ellen_Footsteps_Grass_Run_13	Y:\Explorer\.cache\94\{94ACA749-45A1-5B6A-FDF5-9F86DCC9156F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Grass\SFX_Ellen_Footsteps_Grass_Run_13		38246
	32799715	SFX_Ellen_Footsteps_Mud_Land_03	Y:\Explorer\.cache\06\{06082B70-D247-34D6-5003-6222F7AB05B6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Land\Mud\SFX_Ellen_Footsteps_Mud_Land_03		60048
	43839769	SFX_Ellen_Footsteps_Mud_Run_01	Y:\Explorer\.cache\D0\{D0F8C6D2-2CF8-130C-7F63-202BA4869E35}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Mud\SFX_Ellen_Footsteps_Mud_Run_01		35014
	51151621	SFX_Ellen_Footsteps_Grass_Jump_07	Y:\Explorer\.cache\31\{3151D4A6-5859-09CD-4735-DDC106043BBD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Jump\Grass_Mud\SFX_Ellen_Footsteps_Grass_Jump_07		42286
	58169725	SFX_Ellen_Footsteps_Mud_Land_01	Y:\Explorer\.cache\FF\{FF491A76-C693-4B14-5BEE-E3BCE8BE1958}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Land\Mud\SFX_Ellen_Footsteps_Mud_Land_01		69866
	64679436	Footsteps_Grass_Jump_Land_07	Y:\Explorer\.cache\2C\{2CC0E05B-D1CF-47F5-4604-B26F69D1022D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Land\Grass\Footsteps_Grass_Jump_Land_07		48286
	66999381	Footsteps_Grass_Jump_Land_05	Y:\Explorer\.cache\86\{8608D259-A44D-A8FD-B487-0CF3B7E40F5C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Land\Grass\Footsteps_Grass_Jump_Land_05		52374
	86233403	SFX_Ellen_Footsteps_Grass_Run_11	Y:\Explorer\.cache\F6\{F692C3DB-7F97-F68E-2E8A-9373BC0A8BFE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Grass\SFX_Ellen_Footsteps_Grass_Run_11		38978
	91290963	Ellen_Footsteps_Rock_Jump_03	Y:\Explorer\.cache\81\{81140DE7-6DF4-9622-D2CA-2F5293EBFAC6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Jump\Stone\Ellen_Footsteps_Rock_Jump_03		40240
	95096826	SFX_Ellen_Emote_Jump_02	Y:\Explorer\.cache\EE\{EE430A72-16F2-D140-4D60-AE89C34259EB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Emote\Jump\SFX_Ellen_Emote_Jump_02		51040
	115739064	Footsteps_Grass_Jump_Land_06	Y:\Explorer\.cache\76\{7677622B-4E16-AF2B-A11B-BF6CE75627FD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Land\Grass\Footsteps_Grass_Jump_Land_06		57436
	116786040	SFX_Ellen_Footsteps_Grass_Run_14	Y:\Explorer\.cache\9C\{9CBF07BE-3653-9077-9336-9F56DB59FEB1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Grass\SFX_Ellen_Footsteps_Grass_Run_14		35308
	138113514	SFX_Ellen_Footsteps_Rock_Run_06	Y:\Explorer\.cache\F1\{F111D8CB-7063-E564-253F-049475D91C19}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Stone\SFX_Ellen_Footsteps_Rock_Run_06		34192
	147634662	SFX_Ellen_Footsteps_Grass_Jump_08	Y:\Explorer\.cache\A3\{A322E077-A8D9-F934-FD2F-5E22E73EB2AE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Jump\Grass_Mud\SFX_Ellen_Footsteps_Grass_Jump_08		37542
	178942436	SFX_Ellen_Footsteps_Grass_Run_09	Y:\Explorer\.cache\05\{0570DFFD-954A-C7D8-94F3-1AB9E9A00994}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Grass\SFX_Ellen_Footsteps_Grass_Run_09		42068
	206912471	Ellen_Footsteps_Rock_Jump_04	Y:\Explorer\.cache\A3\{A3B029CD-7A8A-D889-1777-1A58219999B1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Jump\Stone\Ellen_Footsteps_Rock_Jump_04		44708
	334862767	SFX_Ellen_Footsteps_Mud_Run_07	Y:\Explorer\.cache\CC\{CC7B9B8A-888E-ED60-C393-68597BD823CB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ellen\Locomotion\Run\Mud\SFX_Ellen_Footsteps_Mud_Run_07		39394
